                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.2131,                0.94453,                 1.0899,                0.79588,                0.65869,                0.73921,                0.48448,                 1.2772,                0.97954,                 1.1258,               0.006634,               0.006634,               0.006634
                     37,                 1.2158,                0.94764,                 1.0896,                0.79675,                0.64369,                 0.7333,                0.48184,                 1.2755,                0.98246,                  1.123,               0.006535,               0.006535,               0.006535
                     38,                 1.2105,                0.93798,                 1.0886,                 0.7991,                0.64533,                 0.7352,                0.48164,                 1.2789,                 0.9839,                 1.1209,               0.006436,               0.006436,               0.006436
                     39,                 1.2057,                0.93119,                 1.0884,                0.80048,                0.65679,                0.74271,                 0.4883,                 1.2708,                0.96536,                 1.1197,               0.006337,               0.006337,               0.006337
                     40,                 1.2032,                0.93039,                 1.0837,                0.80133,                0.65846,                0.74569,                0.49156,                 1.2703,                0.96009,                 1.1186,               0.006238,               0.006238,               0.006238
                     41,                  1.202,                0.92258,                 1.0839,                0.81691,                0.65505,                0.74641,                0.49338,                 1.2596,                0.96165,                 1.1139,               0.006139,               0.006139,               0.006139
                     42,                  1.195,                0.92123,                 1.0805,                0.79156,                 0.6603,                0.74125,                0.49045,                 1.2629,                0.96483,                 1.1131,                0.00604,                0.00604,                0.00604
                     43,                 1.1991,                0.92605,                  1.084,                0.81134,                0.65726,                0.74195,                0.48755,                 1.2723,                0.96427,                 1.1169,               0.005941,               0.005941,               0.005941
                     44,                 1.1912,                0.91594,                 1.0801,                0.81178,                 0.6639,                0.75155,                0.49581,                 1.2559,                0.95289,                 1.1117,               0.005842,               0.005842,               0.005842
                     45,                 1.1886,                0.91318,                 1.0776,                0.80269,                0.66524,                0.74846,                0.49247,                 1.2596,                0.94961,                 1.1116,               0.005743,               0.005743,               0.005743
                     46,                 1.1855,                0.90655,                 1.0736,                0.80171,                0.67033,                0.75048,                0.49599,                 1.2555,                0.94665,                 1.1119,               0.005644,               0.005644,               0.005644
                     47,                 1.1802,                0.89811,                 1.0751,                0.81678,                 0.6606,                0.75175,                0.49831,                 1.2518,                0.94202,                 1.1077,               0.005545,               0.005545,               0.005545
                     48,                 1.1792,                 0.8989,                 1.0749,                0.80887,                0.66211,                0.75129,                0.49711,                 1.2542,                0.94395,                 1.1076,               0.005446,               0.005446,               0.005446
                     49,                 1.1793,                0.89791,                 1.0729,                0.81447,                0.66519,                0.75217,                0.49699,                  1.253,                0.94026,                 1.1067,               0.005347,               0.005347,               0.005347
                     50,                  1.175,                0.89009,                 1.0693,                0.81006,                 0.6755,                 0.7544,                0.50085,                 1.2509,                0.93656,                 1.1036,               0.005248,               0.005248,               0.005248
                     51,                 1.1766,                0.89328,                 1.0727,                0.81829,                0.67039,                0.75456,                0.49991,                 1.2494,                0.93236,                 1.1051,               0.005149,               0.005149,               0.005149
                     52,                 1.1672,                0.88589,                 1.0702,                0.81196,                0.67458,                0.75764,                0.50362,                 1.2468,                0.92974,                 1.1042,                0.00505,                0.00505,                0.00505
                     53,                 1.1713,                0.88583,                 1.0679,                 0.8205,                0.67218,                 0.7586,                0.50316,                 1.2447,                0.92946,                 1.1042,               0.004951,               0.004951,               0.004951
                     54,                 1.1693,                0.88139,                 1.0666,                 0.8164,                0.67343,                0.75829,                0.50363,                 1.2402,                0.92243,                 1.0989,               0.004852,               0.004852,               0.004852
                     55,                 1.1674,                0.87712,                 1.0638,                0.81193,                0.67613,                0.76151,                0.50475,                 1.2435,                0.92301,                 1.1006,               0.004753,               0.004753,               0.004753
                     56,                 1.1652,                 0.8743,                 1.0632,                0.81361,                0.67759,                 0.7597,                0.50442,                 1.2431,                0.92215,                 1.1015,               0.004654,               0.004654,               0.004654
                     57,                  1.156,                0.86879,                 1.0631,                0.81115,                0.67427,                 0.7604,                 0.5052,                 1.2436,                0.92162,                 1.1007,               0.004555,               0.004555,               0.004555
                     58,                  1.158,                0.86617,                 1.0608,                 0.8096,                0.68005,                0.76286,                0.50821,                 1.2407,                0.91749,                 1.1008,               0.004456,               0.004456,               0.004456
                     59,                 1.1532,                0.86049,                 1.0592,                0.81379,                0.67842,                0.76359,                 0.5089,                 1.2372,                0.91378,                 1.0977,               0.004357,               0.004357,               0.004357
                     60,                 1.1573,                0.86542,                 1.0598,                0.81519,                0.67673,                0.76401,                0.50951,                 1.2381,                0.91106,                 1.0965,               0.004258,               0.004258,               0.004258
                     61,                  1.152,                0.86181,                 1.0603,                0.81914,                0.67617,                0.76554,                 0.5108,                 1.2353,                0.90846,                 1.0968,               0.004159,               0.004159,               0.004159
                     62,                 1.1504,                0.85292,                 1.0568,                0.81091,                0.68031,                0.76446,                0.50842,                 1.2378,                0.91087,                  1.096,                0.00406,                0.00406,                0.00406
                     63,                 1.1451,                0.85253,                  1.057,                0.81847,                0.67913,                0.76553,                0.51233,                 1.2362,                0.90627,                 1.0964,               0.003961,               0.003961,               0.003961
                     64,                 1.1447,                0.85077,                 1.0551,                0.81334,                0.68329,                0.76511,                0.51078,                 1.2358,                0.90792,                 1.0954,               0.003862,               0.003862,               0.003862
                     65,                 1.1417,                0.84691,                 1.0548,                0.82138,                 0.6812,                0.76534,                0.51092,                 1.2369,                0.90643,                 1.0961,               0.003763,               0.003763,               0.003763
                     66,                 1.1381,                0.84678,                 1.0529,                0.81369,                0.68574,                0.76741,                0.51243,                 1.2368,                0.90571,                 1.0964,               0.003664,               0.003664,               0.003664
                     67,                 1.1352,                0.83997,                 1.0524,                0.81471,                0.68705,                0.76696,                0.51166,                 1.2359,                 0.9046,                 1.0948,               0.003565,               0.003565,               0.003565
                     68,                 1.1347,                0.84157,                 1.0513,                0.81367,                0.69122,                0.76796,                0.51183,                 1.2343,                0.90308,                 1.0941,               0.003466,               0.003466,               0.003466
                     69,                 1.1304,                0.83413,                 1.0485,                0.81951,                0.68765,                0.76861,                  0.513,                 1.2331,                0.90048,                 1.0942,               0.003367,               0.003367,               0.003367
                     70,                 1.1338,                0.83566,                 1.0484,                0.82007,                0.68779,                0.76875,                0.51266,                 1.2347,                 0.8998,                 1.0937,               0.003268,               0.003268,               0.003268
